Job Title,Company Name,Job Location,Job Description,Release Date,Seniority level,Employment type,Department,Industries
Data Scientist,Walmart,"Seattle, WA","Position Summary...What you'll do...Data ScientistAre you a hardcore numbers person who wouldenjoy solving some of business' toughest challengesbyilluminating phenomena and opportunity held withinone of the world's largest data sets?As a Data Scientist atWalmart Global Tech, themammothscale and volume ofour globaldata isvirtuallylimitless.You will createinsightsthatinfluencehow we make decisionsthat haveimpactatan unprecedented scale.You will have the opportunity todo yourbest workwhile unlocking vast business opportunity byextracting key insights, using pattern recognition to develop predictive analytics, and translating results into goal-oriented business actions.Each day, youwill be presented with a variety of new challenges and interesting projects that tap your interests and strengths.This isn't analyst work; you'll be leveraging data science methods, including AI and machine learning in an incredibly dynamic and engaging environment.Min Requirements: 7 years' experience in data science, machine learning, optimization models, or related field.How You'll Make An ImpactAdvising onanalysisandmodeling techniques,selecting thebest fitfor structured& unstructured, complex data,and developingcustom analytics modelstogenerate insights that drive value for our customers andunlock competitive advantage forour organization Collaborating with our data engineerstogatherthe rightinformation fromourvarious sourcesso that you canimplement advanced statistical methodologiesand design interventions to optimize how our business can best perform Conductingexploratoryanalysisincluding hypothesis testing,statistical inference, and statistical analysis (predictiveand/or prescriptive) Partnering with business and technical stakeholders to translatechallenging retailbusiness problemsintostate-of-the-art data sciencesolutions Developing processes and toolsthatmonitor,analyzeand continuously improvemodel performance and data accuracy What You'll BringYou're an inquisitive, out-of-the box thinker who's continually on the lookout for opportunities to improve and innovate data science solutions You have consistently high standards,your passion for quality is inherent in everything that you do You have the courage to fail fast You have proven ability as a full stack data scientistwho develops, optimizes, and scalesmodelsfor theproduction environment You connectthehow and why, usingyour knowledgeofdata sciencetheoriesandmethodologiestoderive the best approach that is fit-for-purpose You have a proven ability with statistical methods and advanced modelling techniques (e.g., SVM, Random Forest, Bayesian inference, graph models, NLP, Computer Vision, neural networks, etc.) You'reexperiencedwith languagesusedto manipulate data and draw insights from large data sets(e.g.Python, R, SQL, etc.) You'reproficientusingdatabase technologies and distributed datastores (e.g. SQL, NoSQL) Youhave experiencewithSpark,Hiveand TensorFlow etc. The above information has been designed to indicate the general nature and level of work performed in the role. It is not designed to contain or be interpreted as a comprehensive inventory of all responsibilities and qualifications required of employees assigned to this job.The full Job Description can be made available as part of the hiring process.Hiring across: Emerging Tech; Marketing & Advertising; Technical Product Management; Health and Wellness Technology; New Ventures; Data Ventures / Luminate.About Global TechFrom entry-level to executive positions, Walmart provides limitless opportunities for growth, and career development.Walmart started small, with a single discount store and the simple philosophy of selling more for less. Today, we are a growing technology-enabled company founded on the same values as our first store. We establish clear expectations, empower associates to manage their work, and hold ourselves and one another to a high standard.Walmart's scale enables us to have an. No other company has the reach of Walmart, with 2.3 million associates worldwide and over 230 million weekly customers.Walmart is reshaping retail by investing in an expanding workforce. While technology is at the heart of our digital transformation, people are the reason we succeed and the force behind our innovations. We train our team in the skillsets of the future and bring in experts like you to help us grow.Flexible, hybrid workWe use a hybrid way of working that is primarily virtual, while remaining near the locations Global Tech calls home. This approach helps us make quicker decisions, remove location barriers across our global team, be more flexible in our personal lives and spend less time commuting. Of course, being together in person is an important part of our culture and shared success. We use our campuses to collaborate and be together in person, as business needs require and for development and networking opportunities.Our U.S. hubs are: Atlanta, GA; Bentonville AR; Charlotte, NC; Dallas, TX, Hoboken, NJ; Reston, VA; Seattle, WA and Sunnyvale, CA.Benefits & PerksBeyond our great compensation package, we offer performance incentives. Other great perks include 401(k) match, stock purchase plan, paid maternity and parental leave, PTO, multiple health plans, and much more.Equal Opportunity EmployerWalmart, Inc. is an Equal Opportunity Employer - By Choice. We believe we are best equipped to help our associates, customers and the communities we serve live better when we really know them. That means understanding, respecting and valuing diversity- unique styles, experiences, identities, ideas and opinions - while being inclusive of all people.#EpicHumanImpactMinimum Qualifications...Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 2 years' experience in an analytics or related field. Option 2: Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field. Option 3: 4 years' experience in an analytics or related field.Preferred Qualifications...Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.Data science, machine learning, optimization models, Master's degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)Primary Location...2628 NE UNIVERSITY VILLAGE ST, SEATTLE, WA 98105-5023, United States of America",5 days ago,Entry level,Full-time,Engineering and Information Technology,Retail Apparel and Fashion
Deep Learning Engineer,XPENG,"San Diego, CA","XPeng Motors is one of China’s leading smart electric vehicle (“EV”) companies. We design, develop, manufacture and market smart EVs that are seamlessly integrated with advanced Internet, AI and autonomous driving technologies. We are committed to in-house R&D and intelligent manufacturing to create a better mobility experience for our customers. We strive to transform smart electric vehicles with technology and data, shaping the mobility experience of the future. We are looking for a Deep Learning Engineer with strong expertise in algorithm design and software implementation to join our Xpilot team. You will build state-of-the-art perception stack for autonomous vehicles. You will be working with a team of best-in-class computer vision/deep learning engineers to ensure best perception performance on our autonomous vehicles. Your work will ensure that we deliver the most reliable mass market autonomous vehicle solution. Job Responsibilities:Research, prototype, optimize and deploy state-of-the-art perception algorithms for production autonomous vehicles, with deep learning and/or traditional computer vision algorithms.Train large-scale deep learning models on GPU clusters and improve algorithms through tracked evaluation metrics.Optimize utilization of deep learning compute resources via quantization, pruning and other model optimization techniques.Work closely with software and test teams on development of algorithm/software modules on simulation and on-target platforms.Minimum Skill Requirements:Master degree in Computer Science, Electrical Engineering, Physics, Applied Mathematics, Statistics or related field.Strong hands-on skills with at least one of the following deep learning frameworks (PyTorch, TensorFlow, etc.)Familiar with classical computer vision algorithms such as multiview geometry.Proficient in developing algorithms in either C/C++ or Python.Strong will to research, develop and apply deep learning algorithms to new problems.Good communication skills to convey information clearly.Preferred Skill Requirements:Experience in developing perception algorithms in autonomous driving, either for advanced driving assistant system (ADAS) or L4 robotaxi.Research experience in Deep Learning or Computer VisionStrong publication in top AI conferences (CVPR, ICCV, ECCV, NIPS, ICML, ICLR, etc.) or experience in Kaggle competitionPhD training in Natural Science or Engineering.What do we provide:A fun, supportive and engaging environmentOpportunity to make significant impact on transportation revolution by the means of advancing autonomous drivingOpportunity to work on cutting edge technologies with the top talent in the fieldCompetitive compensation packageSnacks, lunches, and fun activities We are an Equal Opportunity Employer. It is our policy to provide equal employment opportunities to all qualified persons without regard to race, age, color, sex, sexual orientation, religion, national origin, disability, veteran status or marital status or any other prescribed category set forth in federal or state regulations.",1 week ago,Not Applicable,Full-time,Engineering,Motor Vehicle Manufacturing
Data Scientist,Walmart,"Hoboken, NJ","Position Summary...What you'll do...Data ScientistAre you a hardcore numbers person who wouldenjoy solving some of business' toughest challengesbyilluminating phenomena and opportunity held withinone of the world's largest data sets?As a Data Scientist atWalmart Global Tech, themammothscale and volume ofour globaldata isvirtuallylimitless.You will createinsightsthatinfluencehow we make decisionsthat haveimpactatan unprecedented scale.You will have the opportunity todo yourbest workwhile unlocking vast business opportunity byextracting key insights, using pattern recognition to develop predictive analytics, and translating results into goal-oriented business actions.Each day, youwill be presented with a variety of new challenges and interesting projects that tap your interests and strengths.This isn't analyst work; you'll be leveraging data science methods, including AI and machine learning in an incredibly dynamic and engaging environment.Min Requirements: 7 years' experience in data science, machine learning, optimization models, or related field.How You'll Make An ImpactAdvising onanalysisandmodeling techniques,selecting thebest fitfor structured& unstructured, complex data,and developingcustom analytics modelstogenerate insights that drive value for our customers andunlock competitive advantage forour organization Collaborating with our data engineerstogatherthe rightinformation fromourvarious sourcesso that you canimplement advanced statistical methodologiesand design interventions to optimize how our business can best perform Conductingexploratoryanalysisincluding hypothesis testing,statistical inference, and statistical analysis (predictiveand/or prescriptive) Partnering with business and technical stakeholders to translatechallenging retailbusiness problemsintostate-of-the-art data sciencesolutions Developing processes and toolsthatmonitor,analyzeand continuously improvemodel performance and data accuracy What You'll BringYou're an inquisitive, out-of-the box thinker who's continually on the lookout for opportunities to improve and innovate data science solutions You have consistently high standards,your passion for quality is inherent in everything that you do You have the courage to fail fast You have proven ability as a full stack data scientistwho develops, optimizes, and scalesmodelsfor theproduction environment You connectthehow and why, usingyour knowledgeofdata sciencetheoriesandmethodologiestoderive the best approach that is fit-for-purpose You have a proven ability with statistical methods and advanced modelling techniques (e.g., SVM, Random Forest, Bayesian inference, graph models, NLP, Computer Vision, neural networks, etc.) You'reexperiencedwith languagesusedto manipulate data and draw insights from large data sets(e.g.Python, R, SQL, etc.) You'reproficientusingdatabase technologies and distributed datastores (e.g. SQL, NoSQL) Youhave experiencewithSpark,Hiveand TensorFlow etc. The above information has been designed to indicate the general nature and level of work performed in the role. It is not designed to contain or be interpreted as a comprehensive inventory of all responsibilities and qualifications required of employees assigned to this job.The full Job Description can be made available as part of the hiring process.Hiring across: Emerging Tech; Marketing & Advertising; Technical Product Management; Health and Wellness Technology; New Ventures; Data Ventures / Luminate.About Global TechFrom entry-level to executive positions, Walmart provides limitless opportunities for growth, and career development.Walmart started small, with a single discount store and the simple philosophy of selling more for less. Today, we are a growing technology-enabled company founded on the same values as our first store. We establish clear expectations, empower associates to manage their work, and hold ourselves and one another to a high standard.Walmart's scale enables us to have an. No other company has the reach of Walmart, with 2.3 million associates worldwide and over 230 million weekly customers.Walmart is reshaping retail by investing in an expanding workforce. While technology is at the heart of our digital transformation, people are the reason we succeed and the force behind our innovations. We train our team in the skillsets of the future and bring in experts like you to help us grow.Flexible, hybrid workWe use a hybrid way of working that is primarily virtual, while remaining near the locations Global Tech calls home. This approach helps us make quicker decisions, remove location barriers across our global team, be more flexible in our personal lives and spend less time commuting. Of course, being together in person is an important part of our culture and shared success. We use our campuses to collaborate and be together in person, as business needs require and for development and networking opportunities.Our U.S. hubs are: Atlanta, GA; Bentonville AR; Charlotte, NC; Dallas, TX, Hoboken, NJ; Reston, VA; Seattle, WA and Sunnyvale, CA.Benefits & PerksBeyond our great compensation package, we offer performance incentives. Other great perks include 401(k) match, stock purchase plan, paid maternity and parental leave, PTO, multiple health plans, and much more.Equal Opportunity EmployerWalmart, Inc. is an Equal Opportunity Employer - By Choice. We believe we are best equipped to help our associates, customers and the communities we serve live better when we really know them. That means understanding, respecting and valuing diversity- unique styles, experiences, identities, ideas and opinions - while being inclusive of all people.#EpicHumanImpactMinimum Qualifications...Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.Option 1: Bachelors degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field and 2 years' experience in an analytics or related field. Option 2: Masters degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field. Option 3: 4 years' experience in an analytics or related field.Preferred Qualifications...Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.Data science, machine learning, optimization models, Master's degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)Primary Location...121 River St, Hoboken, NJ 07030-5989, United States of America",5 days ago,Entry level,Full-time,Engineering and Information Technology,Retail Apparel and Fashion
Data Scientist,Atlantic Partners Corporation,"New York, United States","Our direct client is seeking a Data Scientist to influence and help produce value with data within their Corporate Operations Group and beyond. You will apply your broad data expertise though a mix coaching others, providing strategic advice, and performing hands-on analysis.Responsibilities:Partnering with business leaders and coaching nascent data teams to uplift data capabilityIdentifying, determining feasibility, and shaping data use casesDetermining appropriate analytical, statistical or machine learning approaches to create valuePerforming analysis and creating prototypesCommunicating and influencing outcomes based on dataProviding requirements to, and partnering with, technology/data engineering teams to produce data prototypesTo be successful in this role you will have the following skills and experience:Interpreting, telling stories and creating value with dataCurious and business outcome focused with an ability to quickly understand a business area, break down a complex problem and work out how to solve itStrong collaboration skills having worked with business stakeholders at different levels of seniority and technical proficiencyComfortable working across a wide range of data sets and systemsBroad understanding of, but not necessarily expertise in, data strategy, data visualization, data architecture and what is involved in bringing data products into productionCommercial exposure in a corporate, consultancy or start-up environmentDeep practical expertise applying statistical knowledge and machine learning to solve business problems through manipulating and analyzing data with SQL and Python or RProven track record of overseeing multiple data science projects at all stages, from idea generation to objectives formulation to implementation and deliverablesExcellent project management skills, with a proven track record of on-time and within-budget delivery. Exceptional ability to manage priorities across multiple stakeholders.",1 week ago,Mid-Senior level,Full-time,Information Technology,Financial Services and Investment Management
Data Scientist,Tredence Inc.,United States,"Position: Consultant/Manager Location: Various locations, USA ABOUT TREDENCE Tredence is a global analytics services and solutions company. We are one of the fastest growing private companies in the country for three straight years according to the Inc. 5000 and we continue to set ourselves apart from our competitors by attracting the greatest talent in the data analytics and data science space. Our capabilities range from Data Visualization, Data Management to Advanced analytics, Big Data and Machine Learning. Our uniqueness is in building Scalable Big Data Solutions on Onprem/GCP/Azure cloud in a very cost effective and easily scalable manner for our clients. We also come in with some strong IP and pre-built analytics solutions in data mining, BI and Big Data. JOB DESCRIPTION: As a Data Science Lead, you will manage multiple consulting projects of varying complexity and ensure on-time and on-budget delivery for clients. You will lead a team of data scientists and collaborate across cross-functional groups, while contributing to new business development, supporting strategic business decisions and maintaining & strengthening client base 1. Work with team to define business requirements, come up with analytical solution and deliver the solution with specific focus on Big Picture to drive robustness of the solution 2. Work with teams of smart collaborators. Be responsible for their appraisals and career development. 3. Participate and lead executive presentations with client leadership stakeholders. 4. Be part of an inclusive and open environment. A culture where making mistakes and learning from them is part of life 5. See how your work contributes to building an organization and be able to drive Org level initiatives that will challenge and grow your capabilities. THE IDEAL CANDIDATE WILL: 1. Serve as expert in Data Science, build framework to develop Production level DS/AI models. 2. Apply AI research and ML models to accelerate business innovation and solve impactful business problems for our clients. 3. Lead multiple teams across clients ensuring quality and timely outcomes on all projects. 4. Lead and manage the onsite-offshore relation, at the same time adding value to the client. 5. Partner with business and technical stakeholders to translate challenging business problems into state-of-the-art data science solutions. 6. Build a winning team focused on client success. Help team members build lasting career in data science and create a constant learning/development environment. 7. Present results, insights, and recommendations to senior management with an emphasis on the business impact. 8. Build engaging rapport with client leadership through relevant conversations and genuine business recommendations that impact the growth and profitability of the organization. 9. Lead or contribute to org level initiatives to build the Tredence of tomorrow. ELIGIBILITY CRITERIA: 1. Bachelor's /Master's /PhD degree in a quantitative field (CS, Machine learning, Mathematics, Statistics, Data Science) or equivalent experience. 2. 6-10+ years of experience in data science, building hands-on ML models 3. Expertise in ML – Regression, Classification, Clustering, Time Series Modeling, Graph Network, Recommender System, Bayesian modeling, Deep learning, Computer Vision, NLP/NLU, Reinforcement learning, Federated Learning, Meta Learning. 4. Proficient in some or all of the following techniques: Linear & Logistic Regression, Decision Trees, Random Forests, K-Nearest Neighbors, Support Vector Machines ANOVA , Principal Component Analysis, Gradient Boosted Trees, ANN, CNN, RNN, Transformers. 5. Knowledge of programming languages SQL, Python/ R, Spark. 6. Expertise in ML frameworks and libraries (TensorFlow, Keras, PyTorch). 7. Experience with cloud computing services (AWS, GCP or Azure) 8. Expert in Statistical Modelling & Algorithms E.g. Hypothesis testing, Sample size estimation, A/B testing 9. Knowledge in Mathematical programming – Linear Programming, Mixed Integer Programming etc , Stochastic Modelling – Markov chains, Monte Carlo, Stochastic Simulation, Queuing Models. 10. Experience with Optimization Solvers (Gurobi, Cplex) and Algebraic programming Languages(PulP) 11. Knowledge in GPU code optimization, Spark MLlib Optimization. 12. Familiarity to deploy and monitor ML models in production, delivering data products to end-users. 13. Experience with ML CI/CD pipelines. ABOUT YOU: · You are self-motivated, collaborative, eager to learn, and hands on · You love trying out new apps, and find yourself coming up with ideas to improve them · You stay ahead with all the latest trends and technologies · You are particular about following industry best practices and have high standards regarding quality. WHY JOIN TREDENCE? There is a reason we are one of the fastest growing private companies in the country! You will have the opportunity to work with some of the smartest, friendliest, hardest working people in the data analytics space. You will work with the latest technologies and interface directly with the key decision stakeholders at our clients, some of the largest and most innovative businesses in the world. We offer a 401k match; full medical, dental and vision benefits, a fun team atmosphere and a work life balance. Our people are our greatest asset and we value every one of them. Come see why we’re so successful in one of the most competitive and fastest growing industries in the world.",5 days ago,Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services
Data Scientist,NLB Services,"New Jersey, United States","Position For Data ScientistIn Piscataway, NJ, Basking ridge, NJ, Irving TX, Tampa, FL (Hybrid)Contract Job DescriptionLeverage data and rigorous analytical methods to drive strategic decision-makingWork with business stakeholders to frame the business problem and develop robust problem solving strategiesStrong Python codinggood understanding of data and statisticsexperience with ML models (specially trees) - important is understanding of concepts behind it as well as implementationAggregate data from a variety of sources, identify new sources, and automate collection and processingDesign and execute experiments for optimization and to expedite learningDevelop and deploy predictive analytical modelsSummarize findings and proposed solutions, communicate and socialize findings with multiple stakeholdersMentor a team of data scientists on data exploration, machine learning and problem solvingWork with a sense of ownership and urgency, advocate for experimentation based, agile culture",1 week ago,Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,MarketDial,"Salt Lake City, UT","Who is MarketDial?At MarketDial we equip our clients with the easiest-to-use and most accurate solution to conduct offline A/B testing. In short, we provide our clients with the tools they need to set up statistically robust trials to test various initiatives across their business. This allows them to learn quickly and have greater confidence in the initiatives they ultimately decide to roll out - saving time, money, and energy. To date, our software has allowed our clients across the retail, grocery, c-store, restaurant, and manufacturing markets to make sophisticated multi-million dollar marketing, pricing, staffing, and operational decisions through offline A/B testing.We pride ourselves on offering our clients unparalleled support to ensure their success with MarketDial. We are currently seeking a Data Scientist to uniquely support our clients in the U.S. and abroad.What you will do:This role has a variety of responsibilities spanning engagement with MarketDial users and senior executives/project sponsors. A sample of responsibilities include:Support users in end to end process of testing, from designing the ideal test to meet their business need, to understanding the business implications of the test outcomeAnalyze data and create novel analytical solutions to answer business questionsHost regular training sessions to equip new users with the skills to effectively use MarketDialResearch statistical/ML methodologies to solve client problems and develop the MarketDial productEngage key stakeholders to increase MarketDial awareness across business units, including promoting MarketDial at various business town hallsStrategize with senior leaders to embed MarketDial into the broader testing governance/framework of their businessOnboard new teams/brands through effective collaboration with project sponsors and technical stakeholdersEffectively gather user feedback to understand opportunities to enhance our product, and work with the MarketDial leadership team to incorporate feedback into product developmentProduce high quality materials (powerpoint, etc.) to engage with clients (users and senior executives) on test outcomes and broader partnership objectivesWhat you will bring:Be comfortable working and communicating with senior executives as well as business analystsBe knowledgeable in applying of statistical and ML methodologies using tools like Python to solve real-world problemsBe able to work independently and drive projects with limited direction (be comfortable with being uncomfortable)Be open to travel as needed to meet client needsNice to haves:A background in retail analytics or management consulting is preferred but not requiredExperience with/technical skills of Python, SQL, R, SAS, or the likes is highly desirableAn advanced degree (Ph’D, Masters) in an analytical discipline is preferred but not requiredAdept with translating concepts and analytics into an effective presentation appropriate for various audiencesProject management experience or skills highly desirableSome of the benefits you will enjoy:Competitive pay and stock option grants.Annual company bonus401K matchingFully-covered healthcare, as well as a company-funded HRA account to pay for all out of pocket costs.Unlimited vacation policy.Generous parental leave.Regular free meals.Fully stocked kitchen.Open, transparent office and culture.Continuing education/tuition reimbursement program.Transportation benefits and reimbursement program.Data Scientist will be located in the Salt Lake City, Utah area and report to the Chief Data Scientist who sits in SLC.",1 week ago,Mid-Senior level,Full-time,"Information Technology, Consulting, and Other",Software Development
Data Scientist,Incedo Inc.,"Iselin, NJ","About Incedo Do amazing things. We, at Incedo, a global digital transformation expert, empower companies to realize sustainable business impact from their investments in digital transformation. Join our team to work on challenging problems in industry-leading client organizations. Build on the foundation of our integrated services and platforms that are powered by strong engineering, data science and analytics, design capabilities and our deep domain expertise. With over 2,500 people in six offices in the US and India, and a large, diverse portfolio of Fortune 500 clients worldwide, we work across telecom, financial services, product engineering and life sciences & healthcare industries. Our flexible career paths will allow you to grow depending on your skills and interests. Incedo University, our proprietary learning platform, will provide you with ample learning opportunities from structured onboarding programs to engaging programs throughout your career at Incedo. We work hard and play hard and have a fun and friendly work culture About the Job Software engineers at Incedo develop the next-generation data-science technologies that impact Fortune 20 customers. Our products need to manage information on a massive scale, so we're always looking for engineers who bring fresh ideas from all areas— distributed computing, large-scale system design, data storage, and UI design. Our engineers are versatile, are leaders and are enthusiastic about taking on new problems across the full-stack. Does this sound like you? As an Associate Software Engineer, you will work on a specific project critical to Incedo’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve.Responsibilities• Perform Exploratory Data Analysis, test hypotheses, and generate insights as part of the analytical solution being built.• Participate in solution approach and methodology design for the project/work stream• Be an integral part of the team performing feature engineering, model building, model evaluation, and deploymentSkills & Qualifications• Masters’ or Bachelor's Degree in Applied Mathematics, Computer Science, Statistics, Business Analytics, Data Science, or related areas.• Good working knowledge of common data science toolkits, such as Python/R and SQL based query languages• Has worked on multiple projects involving Machine Learning/Data Science• A good grasp of at least 2-3 Machine Learning Concepts such as Linear Regressions, Logistic Regression, Decision Tree, SVM, Random Forests, KNN, K-Means, Recommendation systems etc. along with the math behind some of the techniques• Ability to articulate problem statements to formulate data science or analytics approaches• Ability to communicate thought processes clearly• 0-1 years of prior work experience in Data and Analytics domains like IT Services, Consulting, Corporate etc.",5 days ago,Entry level,Full-time,Information Technology and Consulting,"IT Services and IT Consulting, Biotechnology Research, and Pharmaceutical Manufacturing"
Deep Learning Software Engineer ,TikTok,"Mountain View, CA","Who We AreTikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.Software Engineer - Machine Learning / Deep Learning Systems(out of Seattle or Mountain View/Bay Area location)As an important part behind TikTok, our team was established to help realize our company vision, building a global platform for creation and communication. We are doing the world-class work in machine learning, computer vision, natural language processing, speech and audio, knowledge and data mining, and transferring our work into TikTok which are used by hundreds of millions of users around the world.Come and join us, you will get the chance to work with the best AI system & algorithm researchers & engineers building large-scale machine learning systems, push next-generation machine learning algorithms and platforms for the recommendation systems, ads ranking and search rankings.What You'll Do:Develop and maintain the machine learning platform and services, including offline training, online inference, model management, and resource orchestration;Build backend service for automated learning systems.Integrate new algorithms such as neural architecture search, hyperparameter tuning and model compression into our learning systems.Apply automated machine learning algorithms to improve existing machine models in different systemsResearch and develop the machine learning inference frameworks, Deep Learning model optimization, & deployment in production systems Collaborate with ML algorithm teams and cross-optimize the performance of critical ML inference tasks. build the large scale systems for machine learning integrating with GPU, RDMA network and storage system;Skills Programming experience with at least one modern language such as Python, Golang, Java, C/C++, etcFamiliar with at least one deep learning framework (TensorFlow, PyTorch, MXNet, or other);Know at least one of the machine learning models and their typical application scenarios, like ResNet for image classification, BERT for text understanding, etc.;Any knowledge of the following would be a plus: CUDA programming, compilers like TVM, XLA, TensorRT, model quantization, model compression, etc.Understanding of basic deep learning algorithms.TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.",1 week ago,Mid-Senior level,Full-time,Information Technology,Entertainment Providers
Jr. Data Scientist,"WhirlWind Technologies, LLC","Oxon Hill, MD","Job Title/Level Jr. Data ScientistLocation 100% RemoteSalaryCommensurate with experienceSchedule Full TimePreferred ClearanceMust be able to obtain a Public Trust ClearanceCovid VaccinationAs a condition of employment, employees will be required to provide proof of their COVID-19 vaccination.Company OverviewWhirlWind is on a mission to help each client succeed by using our management consulting and technology expertise. We design, build, and manage secure environments that support data-driven decision making and data-powered products. Our services transform governments and enhance the lives of citizens.Our people are driven and committed to our mission. If you want to join a team of rock stars who do incredible, purposeful work, and have fun doing it, come thrive with us and be one of the heroes behind our success. We offer an attractive benefits package including a competitive base salary and have been voted the Best Place to Work for 2022.Position OverviewWhirlWind Technologies, LLC has an immediate opening for a Junior Data Scientist with projects relating to data science, artificial intelligence (AI), or familiarity with key concepts in each field while working remotely. This role will work closely with machine learning projects' Product Owners and the customer's fellowship program. The ideal candidate is a recent graduate with 2+ years of experience with strong abilities to approach complex problems creatively, to lead their portion of work skillfully, and to help devise the delivery of thoughtful solutions as a part of a growing team. This position will report directly to the WhirlWind EDSDI Program Manager.Top 3 Outcomes in Year 1With your leadership and technical skills, achieve a state-of-the-art, highly automated, and interactive data visualization systemLead and obtain organic growth of the current IT contract and client accountAchieve and/or increase customer satisfaction through mutually agreeable performance metricsEssential Duties & ResponsibilitiesDevelop methods and procedures for collection and analysis of data from several data sourcesMonitor, review, and validate customer data is collected and processed on scheduleAutomate data collection from various external data sources and data typeLead requirements gathering from customer and stakeholders and create interactive data visualization dashboards that meet or exceed customer requirements and expectationsIdentify and integrate tools to enhance data visualization efficiencies and effectiveness such as machine learning (ML), artificial intelligence (AI), and robotics process automation (RPA)Proactively seek an understanding of the customer's business, mission, and vision to provide additional thought leadership to achieve their goalsCreate clear and concise presentations as needed to communicate with the customer and stakeholders the status of projects and assigned tasksProvide weekly written status reports and brief customer weekly on the status of the project activitiesRequired QualificationsAbility to attain Public trust positionExperience in one or more of the following: Python, Julia, C, C++, R, MATLAB, Java, Scala, EMR/spark or similarExperience designing, training, using, and/or deploying machine learning modelsComfortable implementing modern software development practices, i.e. version control, continuous integration, test-driven development, etc.A recent graduate with a Bachelors or Master's degree in Computer Science, Engineering, or similar relevant field experienceKnowledge of application system analysis and data analyticsKnowledge of business intelligence softwareProfessional attitude, with a strong self-directed work ethic and the ability to work in a fast-paced, dynamic environmentSolid communication skills, both verbal and writtenPreferred Qualifications2+ years of experience in one or more of the following: Python, Julia, C, C++, R, MATLAB, Java, Scala, EMR/spark or similarPrevious working experience as a data scientist or machine learningBasic knowledge of Agile process and principlesOutstanding communication, presentation, and leadership skillsExcellent organizational and time management skillsSharp analytical and problem-solving skillsAttention to details",4 days ago,Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting
AI/Machine Learning Engineer,Lockheed Martin,"Moorestown, NJ","When it comes to using cutting-edge machine learning to tackle complex problems, Lockheed Martin is driven by a singular mission focus and desire to continuously innovate. Today’s challenges to global security aren’t just changing – they’re accelerating faster than ever before. Through our dedication to our mission, our AI-enabled systems are changing the way militaries operate and protect their forces, the way first responders fight fires, and how researchers explore the far reaches of space and the ocean’s depths.The Lockheed Martin Artificial Intelligence Center (LAIC) team seeks a talented web developer to join our team to help us grow a collection of internal websites and web tools for the Lockheed Martin AI/ML (Artificial Intelligence / Machine Learning) community of practice.As a website developer, you will Build web-based and API-first applications and be a strong voice in all software development phases including user story generation, system and software design, implementation, integration, and test Work with AI/ML practitioners to solve complex problems and create unique solutions Continuously evaluate the latest packages and frameworks in the web dev ecosystem Coordinate with internal infrastructure teams to keep sites, packages, and pipelines updated Create documentation and best practices to share with the AI/ML community",3 weeks ago,Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing
